arm,normal_psnr_mean,normal_psnr_sd,normal_n,bacterial_psnr_mean,bacterial_psnr_sd,bacterial_n,viral_psnr_mean,viral_psnr_sd,viral_n,normal_ssim_mean,normal_ssim_sd,bacterial_ssim_mean,bacterial_ssim_sd,viral_ssim_mean,viral_ssim_sd
arm_a_l2,34.0394,0.9214,234,,,,,,,0.9202,0.0159,,,,
arm_i_l1,33.8811,0.9084,234,,,,,,,0.9183,0.0162,,,,
arm_j_l1_ssim_ffl,33.7390,0.8973,234,,,,,,,0.9181,0.0158,,,,
arm_q_charb,33.9792,0.9224,234,,,,,,,0.9202,0.0160,,,,
arm_r_ft_j,33.9656,0.9173,234,,,,,,,0.9204,0.0159,,,,
arm_s_ft_d,34.0356,0.9292,234,,,,,,,0.9199,0.0159,,,,
arm_b_nll,32.8107,0.8369,234,,,,,,,0.9000,0.0171,,,,
arm_d_nll_ssim_ffl,32.7867,0.8380,234,,,,,,,0.8996,0.0171,,,,
arm_k_nll_l1,32.6211,0.8330,234,,,,,,,0.8953,0.0166,,,,
arm_l_nll_edge_ffl,32.4821,0.7994,234,,,,,,,0.8934,0.0168,,,,
arm_c_nll_ssim,31.6539,0.7815,234,,,,,,,0.8737,0.0177,,,,
arm_n_perc,31.7128,0.7760,234,,,,,,,0.8750,0.0172,,,,
arm_e_ppvae,30.9853,0.7648,234,,,,,,,0.8586,0.0198,,,,
arm_f_kl_cyc,32.0587,0.7915,234,,,,,,,0.8864,0.0183,,,,
arm_g_kl_fb,31.7717,0.7875,234,,,,,,,0.8766,0.0171,,,,
arm_h_kl_cyc_fb,32.0383,0.8222,234,,,,,,,0.8836,0.0175,,,,
arm_p_best,31.0298,0.7539,234,,,,,,,0.8606,0.0185,,,,
arm_m_full_det,31.0417,0.7735,234,,,,,,,0.8622,0.0183,,,,
arm_o_prelu,28.6083,0.7301,234,,,,,,,0.7852,0.0356,,,,
