arm,normal_psnr_mean,normal_psnr_sd,normal_n,bacterial_psnr_mean,bacterial_psnr_sd,bacterial_n,viral_psnr_mean,viral_psnr_sd,viral_n
arm_a_l2,33.4399,0.9341,234,34.4164,1.1154,242,34.3348,0.8721,148
arm_i_l1,33.2984,0.9131,234,34.2562,1.0876,242,34.1454,0.8684,148
arm_j_l1_ssim_ffl,33.1504,0.8973,234,34.1393,1.0793,242,34.0290,0.8879,148
arm_q_charb,33.9792,0.9224,234,34.9061,1.0641,242,34.8066,0.8537,148
arm_r_ft_j,33.9656,0.9173,234,34.9086,1.0795,242,34.8680,0.8455,148
arm_s_ft_d,34.0356,0.9292,234,34.9729,1.1015,242,34.9157,0.8374,148
arm_b_nll,32.2649,0.8572,234,33.3747,1.0116,242,33.1617,0.8850,148
arm_d_nll_ssim_ffl,32.2566,0.8458,234,33.3541,0.9965,242,33.1488,0.8805,148
arm_k_nll_l1,32.0886,0.8378,234,33.2042,0.9821,242,33.0061,0.8837,148
arm_l_nll_edge_ffl,31.9597,0.8265,234,33.0755,0.9768,242,32.8572,0.9031,148
arm_c_nll_ssim,31.1680,0.8018,234,32.3770,0.9302,242,32.1211,0.9210,148
arm_n_perc,31.2358,0.7981,234,32.4476,0.9303,242,32.2377,0.9175,148
arm_e_ppvae,30.5147,0.7928,234,31.6269,0.8670,242,31.4284,0.9018,148
arm_f_kl_cyc,31.5282,0.8232,234,32.6771,0.9653,242,32.4574,0.9380,148
arm_g_kl_fb,31.2766,0.8093,234,32.4945,0.9477,242,32.2605,0.9346,148
arm_h_kl_cyc_fb,31.5039,0.8349,234,32.7532,0.9871,242,32.4792,0.9764,148
arm_p_best,30.5458,0.7872,234,31.6517,0.8783,242,31.4068,0.9253,148
arm_m_full_det,30.5440,0.8020,234,31.6618,0.8750,242,31.4352,0.9200,148
arm_o_prelu,28.2083,0.7550,234,29.0613,0.9381,242,28.8396,0.8790,148
dncnn_baseline,31.6834,0.7811,234,32.7640,0.9087,242,32.6180,0.8254,148
